DT9837(00).Hammer(X)	DT9837(00).Hammer(Y)	DT9837(00).Accelerometer(X)	DT9837(00).Accelerometer(Y)	DT9837(00).Accelerometer-Coherence(X)	DT9837(00).Accelerometer-Coherence(Y)	DT9837(00).Accelerometer-FRF(X)	DT9837(00).Accelerometer-FRF(Y)
0	-0.0301241874694824	0	6.27234552655435	0	0.319801399559474	0	428.698870977204
0.00251255598455662	-0.0333309173583984	0.00251255598455662	5.53782671045679	0.388672931469955	0.531264496021018	0.388672931469955	74.7020938571538
0.00502511196911323	-0.030827522277832	0.00502511196911323	6.38808788545457	0.777345862939911	0.760391078476497	0.777345862939911	15.7155223734406
0.00753766795366985	-0.0259160995483398	0.00753766795366985	5.76040816988029	1.16601879440987	0.897557730278115	1.16601879440987	7.09838786650644
0.0100502239382265	-0.0279903411865234	0.0100502239382265	5.80937609095346	1.55469172587982	0.88629568462791	1.55469172587982	4.47136232035919
0.0125627799227831	-0.0298619270324707	0.0125627799227831	4.85672744462086	1.94336465734978	0.851236221159947	1.94336465734978	3.64291943795832
0.0150753359073397	-0.0260472297668457	0.0150753359073397	5.47550390181821	2.33203758881973	0.841838874662797	2.33203758881973	3.51540771741768
0.0175878918918963	-0.0306129455566406	0.0175878918918963	4.04207930313084	2.72071052028969	0.847923899479728	2.72071052028969	3.69149029600759
0.0201004478764529	-0.0248312950134277	0.0201004478764529	6.49937861516633	3.10938345175964	0.851146734761165	3.10938345175964	4.03464161751824
0.0226130038610096	-0.0301003456115723	0.0226130038610096	5.30634199265634	3.4980563832296	0.859287978403513	3.4980563832296	4.48759202559327
0.0251255598455662	-0.0286102294921875	0.0251255598455662	6.37918462707763	3.88672931469955	0.860279959750161	3.88672931469955	5.0516630058655
0.0276381158301228	-0.0275731086730957	0.0276381158301228	6.45486232328162	4.27540224616951	0.8539506910713	4.27540224616951	5.80363950119777
0.0301506718146794	-0.0280857086181641	0.0301506718146794	6.11208687576943	4.66407517763946	0.851860081979427	4.66407517763946	6.88375228974865
0.032663227799236	-0.0282883644104004	0.032663227799236	6.40589440220845	5.05274810910942	0.852721332685224	5.05274810910942	8.37699878508223
0.0351757837837926	-0.0292181968688965	0.0351757837837926	5.77821468663417	5.44142104057937	0.859313902781506	5.44142104057937	10.4295368300383
0.0376883397683493	-0.027012825012207	0.0376883397683493	5.93402170823062	5.83009397204933	0.875170607359859	5.83009397204933	12.9425286445242
0.0402008957529059	-0.0264525413513184	0.0402008957529059	6.26789389736588	6.21876690351928	0.903768031631855	6.21876690351928	14.1406081556793
0.0427134517374625	-0.024712085723877	0.0427134517374625	5.76485979906876	6.60743983498924	0.955804178843386	6.60743983498924	12.6212109962651
0.0452260077220191	-0.0275015830993652	0.0452260077220191	4.48724222197785	6.99611276645919	0.9590848027833	6.99611276645919	10.9668240284259
0.0477385637065757	-0.0217795372009277	0.0477385637065757	6.74421822053218	7.38478569792915	0.908271603451603	7.38478569792915	18.3030562004284
0.0502511196911323	-0.0291705131530762	0.0502511196911323	3.88182065234591	7.77345862939911	0.0407906634581221	7.77345862939911	13.8126733388049
0.052763675675689	-0.029301643371582	0.052763675675689	3.92188531504215	8.16213156086906	0.842406026611592	8.16213156086906	13.6413936304722
0.0552762316602456	-0.0229954719543457	0.0552762316602456	6.30795856006211	8.55080449233902	0.884912719810634	8.55080449233902	6.43275129629885
0.0577887876448022	-0.0272393226623535	0.0577887876448022	7.58557613715303	8.93947742380897	0.898850659031619	8.93947742380897	4.58844648535824
0.0603013436293588	-0.0317215919494629	0.0603013436293588	5.23511592564082	9.32815035527893	0.90923312365625	9.32815035527893	3.48820663501313
0.0628138996139154	-0.0255703926086426	0.0628138996139154	7.291768610714	9.71682328674888	0.911597573886478	9.71682328674888	2.5930163272623
0.065326455598472	-0.0274777412414551	0.065326455598472	6.1610547968426	10.1054962182188	0.915366326147767	10.1054962182188	2.07715371870747
0.0678390115830287	-0.0280261039733887	0.0678390115830287	4.87898559056321	10.4941691496888	0.917732700533242	10.4941691496888	1.72772344906483
0.0703515675675853	-0.0270843505859375	0.0703515675675853	5.53782671045679	10.8828420811587	0.916932643190575	10.8828420811587	1.48631502985085
0.0728641235521419	-0.0295639038085938	0.0728641235521419	4.81666278192463	11.2715150126287	0.914608592641276	11.2715150126287	1.31522927192176
0.0753766795366985	-0.0216484069824219	0.0753766795366985	6.60621771568961	11.6601879440987	0.916889513427993	11.6601879440987	1.1921090728937
0.0778892355212551	-0.0292539596557617	0.0778892355212551	3.55240009239913	12.0488608755686	0.923737503138304	12.0488608755686	1.10716577065667
0.0804017915058117	-0.0278592109680176	0.0804017915058117	4.34033845875833	12.4375338070386	0.927731299681842	12.4375338070386	1.02326365151813
0.0829143474903684	-0.0258207321166992	0.0829143474903684	4.97246980352109	12.8262067385085	0.926945796737232	12.8262067385085	0.976033322330607
0.085426903474925	-0.0232934951782227	0.085426903474925	5.43543923912197	13.2148796699785	0.92449475705518	13.2148796699785	0.98520026331851
0.0879394594594816	-0.0229239463806152	0.0879394594594816	6.73976659134371	13.6035526014484	0.909273730965604	13.6035526014484	1.0426711392758
0.0904520154440382	-0.0283360481262207	0.0904520154440382	4.20233795391576	13.9922255329184	0.873741325566851	13.9922255329184	1.18645482707714
0.0929645714285948	-0.0282526016235352	0.0929645714285948	6.26789389736588	14.3808984643883	0.82740432750795	14.3808984643883	1.51137227165101
0.0954771274131514	-0.0251054763793945	0.0954771274131514	5.69808536124171	14.7695713958583	0.748004384695856	14.7695713958583	2.22171871215073
